,name,timestamp,week,symbol,compound,positive,negative,neutral,add
177,SatoshiLite,Nov/14/2017,46,Bitcoin,0.5267,0.468,0.0,0.532,1
178,SatoshiLite,Nov/14/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
179,SatoshiLite,Nov/14/2017,46,Bitcoin,0.1351,0.133,0.106,0.76,1
180,SatoshiLite,Nov/14/2017,46,Bitcoin,0.4902,0.143,0.0,0.857,1
181,SatoshiLite,Nov/14/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
182,SatoshiLite,Nov/14/2017,46,Bitcoin,-0.34,0.0,0.146,0.854,1
183,SatoshiLite,Nov/14/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
184,SatoshiLite,Nov/14/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
185,SatoshiLite,Nov/14/2017,46,Bitcoin,0.2732,0.139,0.0,0.861,1
186,SatoshiLite,Nov/14/2017,46,Bitcoin,0.25,0.25,0.0,0.75,1
187,SatoshiLite,Nov/14/2017,46,Bitcoin,0.6166,0.287,0.0,0.713,1
188,SatoshiLite,Nov/13/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
189,SatoshiLite,Nov/12/2017,45,Bitcoin,-0.0276,0.09,0.094,0.816,1
190,SatoshiLite,Nov/12/2017,45,Bitcoin,0.3089,0.273,0.0,0.727,1
191,SatoshiLite,Nov/12/2017,45,Bitcoin,-0.4767,0.0,0.341,0.659,1
192,SatoshiLite,Nov/12/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
193,SatoshiLite,Nov/12/2017,45,Bitcoin,0.5719,0.226,0.084,0.69,1
194,SatoshiLite,Nov/12/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
195,SatoshiLite,Nov/12/2017,45,Bitcoin,-0.0772,0.133,0.149,0.718,1
196,SatoshiLite,Nov/12/2017,45,Bitcoin,0.25,0.201,0.127,0.672,1
197,SatoshiLite,Nov/12/2017,45,Bitcoin,0.2732,0.147,0.098,0.756,1
198,SatoshiLite,Nov/10/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
199,SatoshiLite,Nov/10/2017,45,Bitcoin,0.3612,0.102,0.0,0.898,1
200,SatoshiLite,Nov/10/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
201,SatoshiLite,Nov/10/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
202,SatoshiLite,Nov/10/2017,45,Bitcoin,-0.6249,0.123,0.297,0.58,1
203,SatoshiLite,Nov/10/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
204,SatoshiLite,Nov/10/2017,45,Bitcoin,-0.7003,0.094,0.281,0.625,1
205,SatoshiLite,Nov/10/2017,45,Bitcoin,0.4404,0.209,0.0,0.791,1
206,SatoshiLite,Nov/10/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
207,SatoshiLite,Nov/10/2017,45,Bitcoin,0.5504,0.151,0.0,0.849,1
208,SatoshiLite,Nov/09/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
209,SatoshiLite,Nov/09/2017,45,Bitcoin,-0.5106,0.0,0.223,0.777,1
210,SatoshiLite,Nov/09/2017,45,Bitcoin,0.4404,0.367,0.0,0.633,1
211,SatoshiLite,Nov/09/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
212,SatoshiLite,Nov/09/2017,45,Bitcoin,0.6361,0.321,0.0,0.679,1
213,SatoshiLite,Nov/09/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
214,SatoshiLite,Nov/09/2017,45,Bitcoin,0.34,0.156,0.0,0.844,1
215,SatoshiLite,Nov/09/2017,45,Bitcoin,-0.2091,0.084,0.123,0.793,1
216,SatoshiLite,Nov/09/2017,45,Bitcoin,0.2023,0.087,0.0,0.913,1
217,SatoshiLite,Nov/09/2017,45,Bitcoin,0.4767,0.205,0.0,0.795,1
218,SatoshiLite,Nov/09/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
219,SatoshiLite,Nov/09/2017,45,Bitcoin,0.4201,0.149,0.0,0.851,1
220,SatoshiLite,Nov/09/2017,45,Bitcoin,-0.5095,0.0,0.323,0.677,1
221,SatoshiLite,Nov/09/2017,45,Bitcoin,0.1531,0.467,0.367,0.167,1
222,SatoshiLite,Nov/09/2017,45,Bitcoin,0.3182,0.108,0.0,0.892,1
223,SatoshiLite,Nov/09/2017,45,Bitcoin,-0.2263,0.0,0.101,0.899,1
224,SatoshiLite,Nov/09/2017,45,Bitcoin,0.7003,0.266,0.0,0.734,1
225,SatoshiLite,Nov/08/2017,45,Bitcoin,-0.296,0.0,0.355,0.645,1
226,SatoshiLite,Nov/08/2017,45,Bitcoin,-0.5859,0.0,0.186,0.814,1
227,SatoshiLite,Nov/08/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
228,SatoshiLite,Nov/08/2017,45,Bitcoin,0.1531,0.103,0.0,0.897,1
229,SatoshiLite,Nov/08/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
230,SatoshiLite,Nov/08/2017,45,Bitcoin,-0.5267,0.0,0.196,0.804,1
231,SatoshiLite,Nov/08/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
232,SatoshiLite,Nov/08/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
233,SatoshiLite,Nov/08/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
234,SatoshiLite,Nov/07/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
235,SatoshiLite,Nov/07/2017,45,Bitcoin,0.3182,0.191,0.099,0.709,1
236,SatoshiLite,Nov/07/2017,45,Bitcoin,0.3089,0.158,0.0,0.842,1
237,SatoshiLite,Nov/07/2017,45,Bitcoin,0.3595,0.172,0.0,0.828,1
238,SatoshiLite,Nov/07/2017,45,Bitcoin,-0.2732,0.1,0.154,0.746,1
239,SatoshiLite,Nov/06/2017,45,Bitcoin,0.0762,0.062,0.052,0.886,1
240,SatoshiLite,Nov/06/2017,45,Bitcoin,0.34,0.088,0.0,0.912,1
241,SatoshiLite,Nov/06/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
242,SatoshiLite,Nov/06/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
243,SatoshiLite,Nov/06/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
244,SatoshiLite,Nov/06/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
245,SatoshiLite,Nov/06/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
246,SatoshiLite,Nov/06/2017,45,Bitcoin,-0.743,0.0,0.344,0.656,1
247,SatoshiLite,Nov/06/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
248,SatoshiLite,Nov/06/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
249,SatoshiLite,Nov/06/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
250,SatoshiLite,Nov/06/2017,45,Bitcoin,0.3182,0.173,0.0,0.827,1
251,SatoshiLite,Nov/06/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
252,SatoshiLite,Nov/06/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
253,SatoshiLite,Nov/06/2017,45,Bitcoin,0.0,0.0,0.0,1.0,1
254,SatoshiLite,Nov/06/2017,45,Bitcoin,0.4404,0.146,0.0,0.854,1
